SENDER,TEXTS,❤️,😍,💖,🧡,💕,😘,🥰,LOVE.M,LOVE.H,LOVE.B,LOVE.Me,LOVE,😂,EMOS,EMOS.M,EMOS.H,EMOS.B,EMOS.Me,EMOS,!,EXC.M,EXC.H,EXC.B,EXC.Me,CAPS,CAPS.M,CAPS.H,CAPS.B,CAPS.Me,CALL,RELEVANCE
Housies1, HIHIHI sebuah jalan yang dibukakan🤪,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.M, ❤️,1,0,0,0,0,0,0,0,0,0,1,1,😌,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Housies1, ❤️,1,0,0,0,0,0,0,0,1,0,0,1,👍,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Me.M, ❤️❤️,2,0,0,0,0,0,0,0,0,0,2,2,🙏🏼,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Me.M," ❤️❤️ ade kamis besok vaksin mam, bareng Sharen",2,0,0,0,0,0,0,0,0,0,2,2,😱,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.M, ❤️❤️❤️,3,0,0,0,0,0,0,0,0,0,3,3,☺️,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Mom, ❤️🤗,1,0,0,0,0,0,0,1,0,0,0,1,🙈,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,STAY
Me.M, 💕,0,0,0,0,1,0,0,0,0,0,1,1,🥲,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Me.H, 💖💖💖💖,0,0,4,0,0,0,0,0,0,0,4,4,😉,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Mom, 🤗,0,0,0,0,0,0,0,0,0,0,0,0,😆,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,STAY
Mom, 🤗🤗🤗,0,0,0,0,0,0,0,0,0,0,0,0,🤪,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, 🤣🤣 saya udah ganti baju balik kasur🤣🤣🤣,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,5,10,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Mom, 🤣🤣🤣,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,0,0,0,6,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,STAY
Mom, 🤣🤣🤣,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,0,0,0,6,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,STAY
Mom, 🤣🤣🤣,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,0,0,0,6,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,STAY
Me.M, 🤣🤣🤣,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,3,6,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Housies1, 🤣🤣🤣,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,3,0,0,6,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, 🤪🤪🤪🤪😂😂,0,0,0,0,0,0,0,0,0,0,0,0,,6,0,6,0,0,12,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Me.M, 🥰🥰,0,0,0,0,0,0,2,0,0,0,2,2,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Housies2, 🥳🥳 mandiii,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,2,0,0,4,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
